,MSE,PSNR,SSIM
BraTS-GLI-00001-000,0.008444229140877724,20.734397888183594,0.7678611278533936
BraTS-GLI-00001-001,0.013470150530338287,18.706274032592773,0.6762816905975342
BraTS-GLI-00013-000,0.012551159597933292,19.013160705566406,0.8591299653053284
BraTS-GLI-00013-001,0.005398795008659363,22.677030563354492,0.8966429233551025
BraTS-GLI-00015-000,0.0051363324746489525,22.893468856811523,0.8601163625717163
BraTS-GLI-00015-001,0.00920864474028349,20.358041763305664,0.804999589920044
BraTS-GLI-00027-000,0.004302948247641325,23.662338256835938,0.7841142416000366
BraTS-GLI-00037-000,0.0050275600515306,22.986425399780273,0.866431713104248
BraTS-GLI-00047-000,0.008841903880238533,20.5345401763916,0.86601722240448
BraTS-GLI-00079-000,0.002878050087019801,25.409015655517578,0.8849517703056335
BraTS-GLI-00080-000,0.0004298289422877133,33.66704177856445,0.9989033341407776
BraTS-GLI-00080-001,0.002793512772768736,25.53849220275879,0.992481529712677
BraTS-GLI-00082-000,0.021492237225174904,16.677183151245117,0.6804095506668091
BraTS-GLI-00091-000,0.010830951854586601,19.653331756591797,0.7129395604133606
BraTS-GLI-00114-000,0.00027794833295047283,35.56035614013672,0.998626172542572
BraTS-GLI-00119-000,0.017460649833083153,17.57939338684082,0.735001266002655
BraTS-GLI-00125-000,0.001378021202981472,28.607439041137695,0.8524702191352844
BraTS-GLI-00129-000,0.004754456225782633,23.22899055480957,0.8436934947967529
BraTS-GLI-00135-000,0.00955314189195633,20.198535919189453,0.7362774014472961
BraTS-GLI-00141-000,0.001043712254613638,29.814191818237305,0.9656313061714172
BraTS-GLI-00145-000,0.0032506270799785852,24.880329132080078,0.8953626155853271
BraTS-GLI-00153-000,0.013831689953804016,18.591245651245117,0.6753877997398376
BraTS-GLI-00161-000,0.017648059874773026,17.533029556274414,0.7117646932601929
BraTS-GLI-00163-000,0.00798976980149746,20.974655151367188,0.7824780344963074
BraTS-GLI-00174-000,0.0071820649318397045,21.4375057220459,0.7629905939102173
BraTS-GLI-00181-000,0.0053215064108371735,22.739654541015625,0.9032622575759888
BraTS-GLI-00182-000,0.004258040338754654,23.707901000976562,0.8675500154495239
BraTS-GLI-00190-000,0.007848535664379597,21.052112579345703,0.8002369403839111
BraTS-GLI-00200-000,0.003877629991620779,24.114336013793945,0.9670650959014893
BraTS-GLI-00208-000,0.011421565897762775,19.42274284362793,0.7597181797027588
BraTS-GLI-00213-000,0.00631115073338151,21.998912811279297,0.7189095616340637
BraTS-GLI-00229-000,0.0042092748917639256,23.757925033569336,0.9927176237106323
BraTS-GLI-00252-000,0.005308626219630241,22.750179290771484,0.8430901169776917
BraTS-GLI-00256-000,0.009365877136588097,20.284515380859375,0.7562707662582397
BraTS-GLI-00264-000,0.0017405450344085693,27.59314727783203,0.9865179657936096
BraTS-GLI-00287-000,0.01225245650857687,19.117769241333008,0.7173803448677063
BraTS-GLI-00307-000,0.0014466062420979142,28.396495819091797,0.9288685321807861
BraTS-GLI-00323-000,0.0022171083837747574,26.542129516601562,0.9836448431015015
BraTS-GLI-00333-000,0.009043158032000065,20.436796188354492,0.7683102488517761
BraTS-GLI-00335-000,0.008292733691632748,20.81302261352539,0.8179087042808533
BraTS-GLI-00337-000,0.012366490438580513,19.07753562927246,0.7132965326309204
BraTS-GLI-00355-000,0.005296335555613041,22.760244369506836,0.9788920283317566
BraTS-GLI-00372-000,0.004029334057122469,23.94766616821289,0.8897039294242859
BraTS-GLI-00381-000,0.004875116515904665,23.120149612426758,0.9723010659217834
BraTS-GLI-00384-000,0.010374058037996292,19.840513229370117,0.6988716721534729
BraTS-GLI-00422-000,0.006558413617312908,21.832012176513672,0.787982702255249
BraTS-GLI-00428-000,0.005885047372430563,22.302499771118164,0.8087809085845947
BraTS-GLI-00434-000,0.002454780275002122,26.099872589111328,0.9454600811004639
BraTS-GLI-00438-000,0.010629554279148579,19.734848022460938,0.7841039896011353
BraTS-GLI-00447-000,0.01369955949485302,18.632932662963867,0.6297270059585571
BraTS-GLI-00450-000,0.006547397933900356,21.839311599731445,0.8844398856163025
BraTS-GLI-00458-000,0.011112231761217117,19.54198455810547,0.872472882270813
BraTS-GLI-00460-000,0.005269836634397507,22.782028198242188,0.8130204677581787
BraTS-GLI-00462-000,0.0014590524369850755,28.359291076660156,0.9944829940795898
BraTS-GLI-00462-001,0.003867949591949582,24.12519073486328,0.9645444750785828
BraTS-GLI-00463-000,0.016481686383485794,17.82998275756836,0.7412574291229248
BraTS-GLI-00467-000,0.026173390448093414,15.821399688720703,0.6616777181625366
BraTS-GLI-00467-001,0.006917471066117287,21.60052490234375,0.8122451305389404
BraTS-GLI-00474-000,0.013086904771625996,18.831628799438477,0.7602673768997192
