,MSE,PSNR,SSIM
BraTS-GLI-00001-000,0.006110966671258211,22.138898849487305,0.7732496857643127
BraTS-GLI-00001-001,0.01088362094014883,19.632265090942383,0.7060765027999878
BraTS-GLI-00013-000,0.00867617130279541,20.616716384887695,0.885787844657898
BraTS-GLI-00013-001,0.004847577307373285,23.144750595092773,0.9008495211601257
BraTS-GLI-00015-000,0.003550404217094183,24.497220993041992,0.8759644627571106
BraTS-GLI-00015-001,0.008079685270786285,20.926054000854492,0.804632842540741
BraTS-GLI-00027-000,0.0033850970212370157,24.704286575317383,0.8070876002311707
BraTS-GLI-00037-000,0.003916150890290737,24.07140350341797,0.8779571652412415
BraTS-GLI-00047-000,0.0071914177387952805,21.431854248046875,0.877943754196167
BraTS-GLI-00079-000,0.002306611044332385,26.370254516601562,0.8869612812995911
BraTS-GLI-00080-000,0.00022781360894441605,36.42420196533203,0.9993316531181335
BraTS-GLI-00080-001,0.002041545230895281,26.900409698486328,0.9941580891609192
BraTS-GLI-00082-000,0.015502359718084335,18.096019744873047,0.7117785811424255
BraTS-GLI-00091-000,0.010857629589736462,19.642648696899414,0.7102837562561035
BraTS-GLI-00114-000,0.00015996060392353684,37.959869384765625,0.9989832639694214
BraTS-GLI-00119-000,0.011936793103814125,19.231121063232422,0.7741426229476929
BraTS-GLI-00125-000,0.0010290526552125812,29.875621795654297,0.8693541288375854
BraTS-GLI-00129-000,0.0034796257968991995,24.584672927856445,0.8518107533454895
BraTS-GLI-00135-000,0.007582636084407568,21.201797485351562,0.7436941862106323
BraTS-GLI-00141-000,0.0005392628372646868,32.6819953918457,0.9796420335769653
BraTS-GLI-00145-000,0.0019708028994500637,27.05356788635254,0.9050775766372681
BraTS-GLI-00153-000,0.0116456039249897,19.33837890625,0.6964700818061829
BraTS-GLI-00161-000,0.013612892478704453,18.66049575805664,0.7465611696243286
BraTS-GLI-00163-000,0.00527561828494072,22.777265548706055,0.8034575581550598
BraTS-GLI-00174-000,0.005867496598511934,22.31546974182129,0.7750985622406006
BraTS-GLI-00181-000,0.004523796029388905,23.44496726989746,0.908132791519165
BraTS-GLI-00182-000,0.0033066049218177795,24.806177139282227,0.8779003620147705
BraTS-GLI-00190-000,0.0060519566759467125,22.181041717529297,0.809093713760376
BraTS-GLI-00200-000,0.0036117287818342447,24.4228458404541,0.9687736630439758
BraTS-GLI-00208-000,0.00872495025396347,20.592369079589844,0.7824025750160217
