,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_NSD_0.5_ET,LesionWise_NSD_0.5_TC,LesionWise_NSD_0.5_WT,LesionWise_NSD_1.0_ET,LesionWise_NSD_1.0_TC,LesionWise_NSD_1.0_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-SSA-00125-000,0.47826601451562006,0.4878998565325009,0.9378283492973101,0.3797485116680644,0.3684850770721635,0.6260571759275118,0.49400103607448526,0.4866424819060192,0.8518438862820717,187.5,187.5,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
BraTS-SSA-00126-000,0.8809141380634798,0.9631646601888071,0.964319434942273,0.5674507782534531,0.4573231338773766,0.5381352371454056,0.9067253734810078,0.8382155144593627,0.8524117191073104,2.23606797749979,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00129-000,0.9067672323486277,0.9092809364548495,0.9148169227850502,0.5596714697017784,0.5738887796051259,0.5733306039995002,0.9384710130551718,0.9498679294798903,0.9408606501022312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00130-000,0.9113925274300353,0.9390935251798561,0.9585218683897451,0.6095273687855145,0.5084382536508668,0.5250090632368223,0.9034856144303008,0.8146262196835651,0.8425500494293799,2.0,3.0,3.605551275463989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00132-000,0.9578004185216007,0.9771651859078364,0.9763221068508344,0.7776552383888105,0.7026130258325126,0.664967496427922,0.9844752818454311,0.9443004142845519,0.9228968674148903,1.0,1.4142135623730951,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00134-000,1.0,1.0,0.9704027837735306,1.0,1.0,0.619270804251454,1.0,1.0,0.8964217962302123,0.0,0.0,5.0990195135927845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00136-000,0.9330046403712297,0.953452006083585,0.9791542928792978,0.6116290290786788,0.5647197388208459,0.73877877253572,0.9237023973880452,0.9289838824110715,0.9456821266902871,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00137-000,0.9829518696430254,0.9855473980699081,0.4945153079498188,0.8444140013421373,0.8599462089073517,0.4134392599853163,0.9962840577766309,0.999999995,0.4976563798687788,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-SSA-00138-000,0.9627327093962226,0.820786997433704,0.9816862782666019,0.7682450218986199,0.4599665518049455,0.7451508402668587,0.9771047437617454,0.6699461458856824,0.9661793070547405,1.0,14.696938456699069,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00139-000,0.909723001009308,0.5896289359709704,0.9781020399786562,0.6001266815868852,0.3912837849071574,0.756195973625487,0.8637463513435442,0.5489585272919544,0.9490809137839268,3.0,20.149441679609886,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
